Rank,Location,totalCases,Deaths,Recoveries,References,Population,Age,GDP,CaseScaled,DeathScaled,Parent
160,Iceland,"6,483",29,"6,280",[226],"364,134",,,2,0.796410113,World
161,Central African Republic,"6,411",88,"5,112",[227][228],"4,666,368",,,0,0.188583498,World
162,Yemen,"6,341","1,233","2,875",[229],"28,498,683",,,0,0.432651572,World
163,Northern Cyprus,"6,361",32,"5,696",[230],"326,000",,,2,0.981595092,World
164,The Gambia,"5,901",175,"5,419",[231],"2,173,999",,,0,0.804968172,World
165,Seychelles,"5,873",28,"5,101",[232][233],"98,462",,,6,2.84373667,World
166,Niger,"5,251",191,"4,857",[234][235],"24,112,753",,,0,0.079211196,World
167,San Marino,"5,066",90,"4,917",[236],33600,,,15,26.78571429,World
168,Chad,"4,828",170,"4,430",[237][238],"16,244,513",,,0,0.104650721,World
169,Saint Lucia,"4,560",74,"4,368",[239],"184,401",,,2,4.012993422,World
170,Luhansk PR,"4,332",403,"3,782",[240],1464039,,,0,2.752658911,World
171,Gibraltar,"4,283",94,"4,186",[241],"34,003",,,13,27.64461959,World
172,Sierra Leone,"4,062",79,"3,078",[242],"8,059,155",,,0,0.098025165,World
173,Burundi,"4,038",6,773,[243],"11,865,821",,,0,0.00505654,World
174,Somaliland,"3,946",247,"2,781",[244][245],"3,500,000",,,0,0.705714286,World
175,Barbados,"3,866",44,"3,800",[246],"287,025",,,1,1.532967512,World
176,Comoros,"3,840",146,"3,675",[247],"850,886",,,0,1.715858529,World
177,Guinea-Bissau,"3,736",67,"3,338",[248][249],"1,874,303",,,0,0.357466215,World
178,Eritrea,"3,671",10,"3,492",[250],"6,000,000",,,0,0.016666667,World
179,South Ossetia,"3,296",60,"2,963",[251],"53,532",,,6,11.20824927,World
180,Jersey,"3,234",69,"3,172",[252],"107,800",,,3,6.400742115,World
181,U.S. Virgin Islands,"3,138",27,"3,049",[253][254],"105,870",,,3,2.550297535,World
182,Vietnam,"2,962",35,"2,549",[255],"96,208,984",,,0,0.003637914,World
183,Liechtenstein,"2,946",57,"2,818",[256],"38,896",,,8,14.65446318,World
184,Artsakh,"2,673",31,337,[257],"120,000",,,2,2.583333333,World
185,East Timor,"2,524",4,"1,265",[258][259],"1,340,513",,,0,0.029839323,World
186,Monaco,"2,457",32,"2,369",[260],"38,300",,,6,8.355091384,World
187,Bermuda,"2,393",28,"1,820",[261],"71,176",,,3,3.933910307,World
188,Turks and Caicos Islands,"2,393",17,"2,343",[262],"42,953",,,6,3.957814355,World
189,S�o Tom� and Pr�ncipe,"2,310",35,"2,244",[263],"211,028",,,1,1.658547681,World
190,New Zealand,"2,266",26,"2,215",[264][265],"5,128,530",,,0,0.050696788,World
191,Sint Maarten,"2,230",27,"2,187",[266],"41,486",,,5,6.50821964,World
192,Liberia,"2,099",85,"1,949",[267],"5,073,296",,,0,0.16754394,World
193,Saint Vincent and The Grenadines,"1,864",11,"1,715",[268],"110,211",,,2,0.998085491,World
194,Isle of Man,"1,590",29,"1,445",[270],"83,314",,,2,3.480807547,World
195,Bonaire,"1,533",16,"1,504",[271],"20,104",,,8,7.958615201,World
196,Antigua and Barbuda,"1,232",32,"1,014",[272],"96,286",,,1,3.323432275,World
197,Mauritius,"1,211",17,"1,088",[273],"1,265,475",,,0,0.134336909,World
198,Taiwan,"1,145",12,"1,058",[275],"23,568,378",,,0,0.005091568,World
199,Bhutan,"1,111",1,993,[276],"754,388",,,0,0.013255778,World
200,Laos,966,0,60,[283],7123205,,,0,0,World
201,Guernsey,822,14,808,[284],"62,792",,,1,2.229583386,World
202,Faroe Islands,664,1,662,[287][288],"52,110",,,1,0.191901746,World
203,Cayman Islands,543,2,526,[289],"65,813",,,1,0.303891328,World
204,Wallis and Futuna,444,7,11,[290],"11,558",,,4,6.056411144,World
205,Sahrawi Arab DR,353,20,236,[291],"502,585",,,0,0.397942637,World
206,Brunei,227,3,218,[292][293],"460,345",,,0,0.065168515,World
207,British Virgin Islands,194,1,189,[294],"30,030",,,1,0.333000333,World
208,Dominica,174,0,172,[295],"71,625",,,0,0,World
209,Northern Mariana Islands,168,2,32,[296][297],"51,659",,,0,0.387154223,World
210,Grenada,160,1,158,[298],"111,454",,,0,0.089723114,World
211,New Caledonia,124,0,30,[303],"271,407",,,0,0,World
212,Fiji,121,2,68,[304],"926,276",,,0,0.021591837,World
213,Anguilla,95,0,29,[305],"14,731",,,1,0,World
214,Falkland Islands,63,0,62,[306],"3,398",,,2,0,World
215,Macau,49,0,49,[308],"682,800",,,0,0,World
216,Saint Kitts and Nevis,45,0,44,[309][310],52441,,,0,0,World
217,Greenland,31,0,31,[311][312],"56,081",,,0,0,World
218,Vatican City,29,0,27,[313][314],825,,,4,0,World
219,Saint Pierre and Miquelon,25,0,25,[315][316],"5,997",,,0,0,World
220,Montserrat,20,1,18,[317],"4,649",,,0,2.151000215,World
221,Sint Eustatius,20,0,20,[318],"3,138",,,1,0,World
222,Solomon Islands,20,0,18,[319][320],"652,857",,,0,0,World
223,Saba,7,0,6,[333],"1,933",,,0,0,World
224,"Saint Helena, Ascension and Tristan da Cunha",7,0,7,[334][335],5633,,,0,0,World
225,Marshall Islands,4,0,4,[336][337],"58,413",,,0,0,World
226,American Samoa,4,0,3,[338],"46,366",,,0,0,World
227,Samoa,4,0,2,[339][340],"202,506",,,0,0,World
228,Vanuatu,4,1,3,[341][342],"307,815",,,0,0.032487046,World
229,Federated States of Micronesia,1,0,1,[343],"104,468",,,0,0,World
